2026-04-21 00:25:49,840 | INFO | attendance | attendance_marked student_key=S001 student_id=S001 student_name=Alice date=2026-04-21 time=00:25:49 session_id=session_A confidence=0.9100 source=face_recognition
2026-04-21 00:25:49,853 | INFO | attendance | attendance_marked student_key=S002 student_id=S002 student_name=Bob date=2026-04-21 time=00:25:49 session_id=session_1 confidence= source=face_recognition
2026-04-21 00:25:49,864 | INFO | attendance | attendance_marked student_key=S003 student_id=S003 student_name=Carol date=2026-04-21 time=00:25:49 session_id=morning confidence= source=face_recognition
2026-04-21 00:25:49,866 | INFO | attendance | attendance_marked student_key=S003 student_id=S003 student_name=Carol date=2026-04-21 time=00:25:49 session_id=afternoon confidence= source=face_recognition
2026-04-21 00:26:22,915 | INFO | backend.app | Face Recognition API starting up
2026-04-21 00:26:22,917 | INFO | backend.app | CORS origins: ['http://localhost', 'http://127.0.0.1']
2026-04-21 00:26:32,211 | INFO | attendance | attendance_marked student_key=S001 student_id=S001 student_name=Alice date=2026-04-21 time=00:26:32 session_id=session_A confidence=0.9100 source=face_recognition
2026-04-21 00:26:32,220 | INFO | attendance | attendance_marked student_key=S002 student_id=S002 student_name=Bob date=2026-04-21 time=00:26:32 session_id=session_1 confidence= source=face_recognition
2026-04-21 00:26:32,230 | INFO | attendance | attendance_marked student_key=S003 student_id=S003 student_name=Carol date=2026-04-21 time=00:26:32 session_id=morning confidence= source=face_recognition
2026-04-21 00:26:32,232 | INFO | attendance | attendance_marked student_key=S003 student_id=S003 student_name=Carol date=2026-04-21 time=00:26:32 session_id=afternoon confidence= source=face_recognition
2026-04-21 00:32:18,153 | INFO | backend.app | Face Recognition API starting up
2026-04-21 00:32:18,154 | INFO | backend.app | CORS origins: ['http://localhost', 'http://127.0.0.1']
2026-04-21 00:32:36,176 | INFO | backend.app | Face Recognition API starting up
2026-04-21 00:32:36,177 | INFO | backend.app | CORS origins: ['http://localhost', 'http://127.0.0.1']
2026-04-21 00:32:43,291 | WARNING | backend.ui.dashboard_runtime | RecognitionConfig does not accept detect_every_n_frames. Falling back to compatible args only.
2026-04-21 00:32:43,307 | INFO | attendance | attendance_marked student_key=S001 student_id=S001 student_name=Alice date=2026-04-21 time=00:32:43 session_id=session_A confidence=0.9100 source=face_recognition
2026-04-21 00:32:43,315 | INFO | attendance | attendance_marked student_key=S002 student_id=S002 student_name=Bob date=2026-04-21 time=00:32:43 session_id=session_1 confidence= source=face_recognition
2026-04-21 00:32:43,323 | INFO | attendance | attendance_marked student_key=S003 student_id=S003 student_name=Carol date=2026-04-21 time=00:32:43 session_id=morning confidence= source=face_recognition
2026-04-21 00:32:43,325 | INFO | attendance | attendance_marked student_key=S003 student_id=S003 student_name=Carol date=2026-04-21 time=00:32:43 session_id=afternoon confidence= source=face_recognition
